date,AverageTemperature,Year,CityGroup_North-East,CityGroup_North-West,CityGroup_South-East,CityGroup_South-West,season_Fall,season_Spring,season_Summer,season_Winter,climate_type_Cfa,month_sin,month_cos,lat_sin,lat_cos,long_sin,long_cos,AverageTemperatureUncertainty,Anomaly,AverageTemperatureChangeVsLastMonth
1902-12-01,18.205,0.3546511627906977,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.5000000000000004,0.8660254037844384,0.3957057956712232,0.9183773316410876,0.8530047293528817,-0.5219031823064667,0.21761419740817262,0.7978013613261989,-1.3477635862020791
1903-01-01,13.499,0.36046511627906974,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.4213524058002907,0.9068969898099272,0.8608308583809804,-0.5088911801741748,0.20605609392538912,-1.5155340613901256,-1.3997436503158986
1903-01-01,16.061,0.36046511627906974,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3957057956712232,0.9183773316410876,0.8685450273578991,-0.4956102656845058,0.45840801996616154,-0.2561279090315994,-1.3398626164567773
1903-01-01,15.868999999999998,0.36046511627906974,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.4213524058002907,0.9068969898099272,0.8447017973857531,-0.5352372123584814,0.1001068119998741,-0.35050963473528385,-1.167704644111795
1903-01-01,15.714,0.36046511627906974,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3957057956712232,0.9183773316410876,0.8530047293528817,-0.5219031823064667,0.10395951316080193,-0.4267032153814855,-1.036299042032049
1903-02-01,15.229,0.36046511627906974,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.49999999999999994,0.8660254037844387,0.4213524058002907,0.9068969898099272,0.8447017973857531,-0.5352372123584814,-0.21966738435713531,-0.6651153870808949,-0.2665782526345565
1903-02-01,12.831,0.36046511627906974,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.49999999999999994,0.8660254037844387,0.4213524058002907,0.9068969898099272,0.8608308583809804,-0.5088911801741748,-0.22929913725945486,-1.8439038154008582,-0.27822178699605377
1903-02-01,15.627,0.36046511627906974,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.3957057956712232,0.9183773316410876,0.8685450273578991,-0.4956102656845058,0.011494685298534087,-0.46946993484096694,-0.18091510697497612
1903-02-01,15.228,0.36046511627906974,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.49999999999999994,0.8660254037844387,0.3957057956712232,0.9183773316410876,0.8530047293528817,-0.5219031823064667,0.07699060503430692,-0.6656069585689346,-0.20253881364632711
1903-03-01,17.243,0.36046511627906974,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8660254037844386,0.5000000000000001,0.4213524058002907,0.9068969898099272,0.8608308583809804,-0.5088911801741748,-0.025105975730280266,-1.8293966003480824,1.8342480185897188
1903-03-01,20.753,0.36046511627906974,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.3957057956712232,0.9183773316410876,0.8685450273578991,-0.4956102656845058,-0.13298160823625943,-0.10398067732761762,2.131158144807877
1903-03-01,19.138,0.36046511627906974,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8660254037844386,0.5000000000000001,0.4213524058002907,0.9068969898099272,0.8447017973857531,-0.5352372123584814,-0.0732647402418781,-0.8978686305122463,1.6250802405956961
